entry,part_of_speech,korean_meaning,example_sentence
absorb,v.,흡수하다,You need to absorb what the teacher says.
abstract,adj.,추상적인,I find abstract art hard to understand.
accent,n.,"억양, 악센트",She has a lovely British accent.
accidentally,adv.,"우연히, 실수로",I accidentally deleted the file.
accommodate,v.,"수용하다, 숙박시키다",This hotel can accommodate 300 guests.
accomplish,v.,성취하다,He accomplished everything he planned.
accountant,n.,회계사,My brother works as an accountant.
accuracy,n.,정확성,Please check the report for accuracy.
accurately,adv.,정확하게,She described the situation accurately.
acid,n.,산; 신맛,Lemon juice contains a lot of acid.
activate,v.,활성화하다,You need to activate the software before using it.
addiction,n.,중독,He’s trying to overcome his smartphone addiction.
additionally,adv.,게다가,"Additionally, we’ll provide free support."
adequate,adj.,"충분한, 적절한",Make sure you have adequate sleep.
adequately,adv.,적절히,The problem was adequately explained.
adjust,v.,조정하다; 적응하다,It took me a week to adjust to the new job.
affordable,adj.,가격이 적당한,These apartments are quite affordable.
agriculture,n.,농업,Agriculture plays a key role in our economy.
AIDS,n.,에이즈,He works for an organization that fights AIDS.
alien,n.,외계인,Have you ever seen a movie about aliens?
alongside,prep.,"~와 함께, 나란히",She worked alongside her best friend.
altogether,adv.,완전히; 총합으로,There were altogether 20 people at the party.
ambulance,n.,구급차,The ambulance arrived within five minutes.
amusing,adj.,재미있는,That story was really amusing.
analyst,n.,분석가,A financial analyst predicted a market crash.
ancestor,n.,조상,My ancestors lived in this village.
animation,n.,애니메이션,He works in the animation industry.
annually,adv.,매년,The company holds this meeting annually.
anticipate,v.,"예상하다, 기대하다",I didn’t anticipate such a big change.
anxiety,n.,불안,She felt a wave of anxiety before the test.
apology,n.,사과,He made a sincere apology for his mistake.
applicant,n.,지원자,Each applicant must fill out this form.
appropriately,adv.,적절하게,Please dress appropriately for the event.
arrow,n.,"화살, 화살표",Follow the arrows on the floor.
artwork,n.,미술품,The gallery is full of amazing artwork.
aside,adv.,"한쪽으로, 제쳐두고",He pushed his worries aside for a moment.
asset,n.,"자산, 강점",Her experience is a great asset to the team.
assign,v.,할당하다,The teacher assigned homework for the weekend.
assistance,n.,도움,Let me know if you need any assistance.
assumption,n.,"가정, 추정","That’s just an assumption, not a fact."
assure,v.,"보장하다, 확신시키다","I assure you, everything will be fine."
astonishing,adj.,놀라운,The results were absolutely astonishing.
attachment,n.,첨부파일; 애착,Don’t forget to check the email attachment.
auction,n.,경매,She bought the painting at an auction.
automatic,adj.,자동의,The doors open automatically.
automatically,adv.,자동으로,The machine shuts down automatically.
awareness,n.,인식,Public awareness about the issue is growing.
awkward,adj.,어색한,It was an awkward silence after the joke.
badge,n.,"배지, 표식",All visitors must wear a name badge.
balanced,adj.,균형 잡힌,She tries to maintain a balanced diet.
ballet,n.,발레,My daughter takes ballet lessons every week.
balloon,n.,풍선,The kids were playing with red balloons.
barely,adv.,간신히,I barely made it to the meeting on time.
bargain,n.,(싸게 산) 물건,I got this bag for half price — what a bargain!
basement,n.,지하실,They store old furniture in the basement.
basket,n.,바구니,She carried a basket full of apples.
bat,n.,방망이; 박쥐,He hit the ball with a baseball bat.
beam,n.,광선; 들보,A beam of light came through the window.
beard,n.,수염,He decided to shave his beard.
beef,n.,소고기,"I’ll have the beef steak, please."
behave,v.,행동하다,Please behave yourself at the party.
behavior,n.,"행동, 태도",His behavior really surprised everyone.
belief,n.,"믿음, 신념",It’s my belief that honesty always wins.
belongings,n.,소지품,Don’t leave your belongings unattended.
bend,v.,구부리다,Bend your knees when you lift something heavy.
beneath,prep.,~아래에,The keys were hidden beneath the pillow.
beneficial,adj.,유익한,Regular exercise is beneficial to your health.
bet,v.,"내기하다, 장담하다",I bet he’s going to be late again.
beyond,prep.,~을 넘어서,The town lies just beyond the river.
bias,n.,편견,We should avoid showing any bias at work.
bid,v.,입찰하다,They bid $1 million for the building.
billion,num.,10억,The company is worth over two billion dollars.
biological,adj.,생물학적인,He’s studying biological sciences at university.
birth,n.,출생,The birth of their child changed everything.
bitter,adj.,쓴; (감정이) 격렬한,The medicine tastes bitter.
blade,n.,칼날; 잎,"Be careful, the blade is very sharp."
blame,v.,비난하다,Don’t blame me for your mistake.
blank,adj.,"빈, 공백의",Fill in the blank spaces on the form.
blanket,n.,담요,She covered the baby with a soft blanket.
bless,v.,축복하다,God bless you and your family.
blind,adj.,눈이 먼,He’s been blind since birth.
block,n.,"블록, 구획",I live just two blocks away.
blood pressure,n.,혈압,My doctor checks my blood pressure every visit.
boil,v.,끓이다,Boil the water before adding the pasta.
bold,adj.,대담한,She made a bold decision to start her own business.
bond,n.,유대,They formed a strong bond during the trip.
bookcase,n.,책장,The bookcase is full of old novels.
boom,n.,"붐, 급성장",There’s a tech boom happening right now.
boost,v.,증가시키다,Coffee helps boost my energy in the morning.
border,n.,국경,We crossed the border into Canada.
boring,adj.,지루한,The movie was so boring I fell asleep.
borrow,v.,빌리다,Can I borrow your pen for a second?
boundary,n.,경계,The river forms the boundary between the two countries.
brand-new,adj.,새로운,I just bought a brand-new phone.
brave,adj.,용감한,She was brave enough to tell the truth.
breath,n.,"숨, 호흡",Take a deep breath and relax.
briefly,adv.,"잠시, 간단히",He spoke briefly before leaving the stage.
bright,adj.,"밝은, 똑똑한",She’s such a bright and positive person.
brilliant,adj.,"훌륭한, 멋진",That’s a brilliant idea!
broad,adj.,"넓은, 폭넓은",The company offers a broad range of products.
broadcast,v.,방송하다,The show is broadcast live every Sunday.
brush,v.,"솔질하다, 닦다",Don’t forget to brush your teeth before bed.
bubble,n.,거품,The kids were blowing bubbles in the park.
budget,n.,예산,We need to stay within our budget this month.
builder,n.,건축업자,The builder finished the house ahead of schedule.
bump,v.,부딪치다,I bumped into an old friend at the station.
bunch,n.,"무리, 다발",She gave me a bunch of flowers.
burn,v.,"타다, 태우다",Be careful not to burn yourself on the stove.
burst,v.,터지다,The balloon burst when it hit the light.
bury,v.,"묻다, 매장하다",They buried the time capsule in the backyard.
calculate,v.,계산하다,Can you calculate how much we owe?
calm,adj.,차분한,Try to stay calm during the interview.
cancel,v.,취소하다,We had to cancel our trip because of the rain.
cancer,n.,암,Her father is recovering from cancer.
capable,adj.,"유능한, ~할 수 있는",She’s capable of handling the project alone.
capacity,n.,"용량, 수용력",The hall has a seating capacity of 500.
capital,n.,수도; 자본,Seoul is the capital of South Korea.
capture,v.,"붙잡다, 포착하다",The camera captured a beautiful sunset.
carbon,n.,탄소,Reducing carbon emissions is important for the planet.
care,v.,"신경 쓰다, 돌보다",I don’t care what people think.
