entry,part_of_speech,korean_meaning,example_sentence
abolish,v.,폐지하다,They finally decided to abolish that outdated rule.
abortion,n.,낙태,The debate over abortion remains highly controversial.
absence,n.,"부재, 결석",Her long absence worried her coworkers.
absent,adj.,"결석한, 없는",He was absent from class due to illness.
absurd,adj.,터무니없는,It’s absurd to expect results without any effort.
abundance,n.,풍부함,The farm produced an abundance of fresh fruit.
abuse,"n., v.","남용, 학대; 남용하다, 학대하다",The report condemned the abuse of power.
academy,n.,"학술기관, 학원",She received an award from the national science academy.
accelerate,v.,가속하다,We must accelerate development to meet the deadline.
acceptance,n.,"수용, 받아들임",Her acceptance speech was brief but heartfelt.
accessible,adj.,접근 가능한,The museum is accessible to visitors with disabilities.
accomplishment,n.,"성취, 업적",Completing the project was a major accomplishment.
accordance,n.,"일치, 조화",The form was updated in accordance with new rules.
accordingly,adv.,그에 따라,We changed the schedule accordingly.
accountability,n.,책임(성),Transparency strengthens public accountability.
accountable,adj.,책임이 있는,Managers are accountable for their teams’ results.
accumulate,v.,"축적하다, 모으다",Small errors can accumulate over time.
accumulation,n.,"축적, 누적",There was a significant accumulation of data.
accusation,n.,"비난, 고발",He firmly denied the accusation.
accused,n.,"피고, 피의자",The accused pleaded not guilty.
acid,adj.,산성의,Acid rain can erode stone surfaces.
acquisition,n.,"획득, 인수",The firm announced the acquisition of a startup.
acre,n.,에이커(면적 단위),They purchased two acres of farmland.
activation,n.,활성화,Account activation takes just a minute.
activist,n.,운동가,The activist organized a beach cleanup.
acute,adj.,"극심한, 예리한",She felt acute pain in her shoulder.
adaptation,n.,"적응, 각색",The film is an adaptation of a classic novel.
adhere,v.,"고수하다, 들러붙다",We must adhere to the safety guidelines.
adjacent,adj.,인접한,Our office is adjacent to the main lobby.
adjustment,n.,"조정, 적응",A slight adjustment fixed the issue.
administer,v.,"관리하다, 집행하다",The charity administers several grants each year.
administrative,adj.,행정의,She handles administrative tasks for the team.
administrator,n.,"관리자, 행정관",Ask the system administrator for access.
admission,n.,"입장, 입학; 인정",Admission is free for students today.
adolescent,n.,청소년,The clinic provides services for adolescent health.
adoption,n.,"입양, 채택",The adoption of e-signatures sped up the process.
adverse,adj.,"부정적인, 불리한",The policy had adverse effects on small shops.
advocate,"n., v.",옹호자; 옹호하다,She advocates for better public transit.
aesthetic,adj.,미적인,The chair balances aesthetic appeal and comfort.
affection,n.,애정,He showed genuine affection for his grandparents.
aftermath,n.,"여파, 후유증",Volunteers helped in the aftermath of the storm.
aggression,n.,"공격성, 침략",The coach warned players against aggression.
agricultural,adj.,농업의,The region depends on agricultural exports.
aide,n.,"보좌관, 조수",The senator’s aide arranged the briefing.
albeit,conj.,비록 ~일지라도,"He accepted the offer, albeit with hesitation."
alert,"v., n., adj.",경고하다; 경보; 경계하는,Drivers must stay alert in heavy rain.
alien,adj.,"외국의, 이질적인",Some customs seemed alien to her at first.
align,v.,"정렬하다, 조정하다",Let’s align our goals before we start.
alignment,n.,"정렬, 조율",Team alignment improved after the workshop.
alike,"adv., adj.","똑같이, 비슷한",The twins look alike but behave differently.
allegation,n.,"혐의, 주장",The company denied all allegations of fraud.
allege,v.,주장하다,He alleges that his manager treated him unfairly.
allegedly,adv.,주장에 의하면,The politician was allegedly involved in corruption.
alliance,n.,"동맹, 연합",The countries formed a military alliance.
allocate,v.,할당하다,The budget was allocated to different departments.
allocation,n.,"할당, 배분",The allocation of resources must be fair.
allowance,n.,"용돈, 수당",She receives a monthly allowance from her parents.
ally,n.,"동맹국, 동맹자",France was a key ally during the war.
aluminium,n.,알루미늄,The frame is made of lightweight aluminium.
amateur,"adj., n.","아마추어의, 비전문가",He’s just an amateur photographer.
ambassador,n.,대사,The ambassador attended the state dinner.
amend,v.,수정하다,The committee voted to amend the proposal.
amendment,n.,"수정, 개정",The amendment was approved unanimously.
amid,prep.,~속에서,He remained calm amid the chaos.
analogy,n.,"비유, 유추",She used an analogy to explain the idea clearly.
anchor,n.,"닻, 앵커",The anchor dropped into the deep water.
angel,n.,천사,She looked like an angel in her white dress.
anonymous,adj.,익명의,The donation was made by an anonymous supporter.
apparatus,n.,"기구, 장치",The scientists repaired the broken apparatus.
appealing,adj.,매력적인,Her calm voice was very appealing.
appetite,n.,식욕,He has a good appetite after exercise.
applaud,v.,"박수치다, 칭찬하다",The crowd stood to applaud the winner.
applicable,adj.,적용 가능한,These rules are applicable to all employees.
appoint,v.,임명하다,The board decided to appoint a new director.
appreciation,n.,"감사, 감상",She expressed appreciation for their help.
arbitrary,adj.,"임의의, 독단적인",His decision seemed completely arbitrary.
architectural,adj.,건축의,The building is known for its architectural beauty.
archive,n.,"기록 보관소, 아카이브",The files are stored in the national archive.
arena,n.,"경기장, 무대",They entered the political arena with confidence.
arguably,adv.,"틀림없이, 주장하건대",It’s arguably the best restaurant in town.
arm,v.,무장시키다,The guards were armed with rifles.
array,n.,"다양한, 배열",The shop offers an impressive array of items.
articulate,v.,분명히 표현하다,She can articulate her thoughts clearly.
ash,n.,재,The volcano covered the town in ash.
aspiration,n.,"열망, 포부",He has high aspirations for his future career.
aspire,v.,열망하다,She aspires to become a lawyer.
assassination,n.,암살,The assassination of the leader shocked the nation.
assault,"n., v.","공격, 폭행; 공격하다",He was arrested for assaulting an officer.
assemble,v.,"모으다, 조립하다",Students assembled in the hall for the meeting.
assembly,n.,"모임, 조립",The assembly voted to pass the motion.
assert,v.,주장하다,She asserted her right to speak freely.
assertion,n.,"주장, 단언",His assertion lacked evidence.
assurance,n.,"보증, 확신",He gave his assurance that the job was done.
asylum,n.,"보호, 망명",The refugees sought asylum in a safe country.
atrocity,n.,잔혹행위,The report described war atrocities in detail.
attain,v.,"이루다, 달성하다",He finally attained his lifelong dream.
attendance,n.,"출석, 참가",Attendance at the meeting was excellent.
attorney,n.,변호사,She works as an attorney in New York.
attribute,"v., n.",~의 탓으로 돌리다; 속성,He attributes his success to hard work.
audit,n.,"감사, 심사",The company is preparing for an external audit.
authentic,adj.,"진짜의, 진정한",This restaurant serves authentic Korean food.
authorize,v.,허가하다,Only the manager can authorize this transaction.
auto,n.,"자동, 자동차",He works in the auto manufacturing industry.
autonomy,n.,"자치, 자율성",Local governments have more autonomy now.
availability,n.,이용 가능성,Please check the availability of tickets online.
await,v.,기다리다,A bright future awaits those who work hard.
backdrop,n.,배경,The mountains formed a stunning backdrop.
backing,n.,"지지, 후원",The project succeeded thanks to government backing.
backup,n.,"예비, 지원",Always make a backup of your files.
bail,n.,보석금,He was released on bail after the hearing.
ballot,n.,"투표, 투표용지",Citizens cast their ballots today.
banner,n.,현수막,They carried a large banner during the parade.
bare,adj.,"벌거벗은, 드러난",He walked barefoot on the bare ground.
barrel,n.,"통, 배럴",The beer was stored in wooden barrels.
bass,n.,"저음, 베이스",He plays bass in a rock band.
bat,n.,"방망이, 박쥐",She swung the bat and hit the ball.
battlefield,n.,"전장, 전투 지역",Thousands of soldiers died on the battlefield.
bay,n.,"만, 구역",The ship anchored safely in the bay.
beam,n.,"광선, 빛줄기",A beam of light entered through the window.
beast,n.,"짐승, 야수",The beast roared loudly in the jungle.
behalf,n.,~을 대신하여,She accepted the award on behalf of her team.
beloved,adj.,사랑받는,He wrote a poem for his beloved wife.
bench,n.,벤치,They sat on a wooden bench in the park.
benchmark,n.,"기준, 척도",This study provides a benchmark for comparison.
beneath,prep.,~아래에,The valley lies beneath the snowy mountain.
beneficiary,n.,수혜자,She is the main beneficiary of the estate.
betray,v.,배신하다,He would never betray his best friend.
bind,v.,"묶다, 결속시키다",The contract legally binds both parties.
biography,n.,"전기, 생애기록",I read a biography of Marie Curie.
bishop,n.,주교,The bishop led the Sunday service.
bizarre,adj.,"이상한, 기이한",He wore a bizarre hat to the party.
blade,n.,칼날,The blade of the knife was very sharp.
blast,n.,폭발,The blast damaged nearby buildings.
bleed,v.,피를 흘리다,He began to bleed after cutting his finger.
blend,v.,"섞다, 혼합하다",Blend the ingredients until smooth.
bless,v.,축복하다,They asked the priest to bless their marriage.
blessing,n.,"축복, 은혜",Having good health is a blessing.
boast,v.,자랑하다,He often boasts about his achievements.
bonus,n.,"보너스, 상여금",All employees received a holiday bonus.
boom,n.,"호황, 급등",The economy experienced a boom in the 1990s.
bounce,v.,"튀다, 되튀다",The ball bounced off the wall.
boundary,n.,"경계, 한계",The fence marks the boundary of the property.
bow,"v., n.",절하다; 활,He bowed politely to the audience.
breach,n.,"위반, 틈",There was a breach of security last night.
breakdown,n.,"고장, 붕괴",He suffered a mental breakdown under stress.
breakthrough,n.,"돌파구, 혁신",The discovery was a major breakthrough in medicine.
concession,n.,"양보, 인정",The company made a concession to end the strike.
condemn,v.,"비난하다, 규탄하다",Leaders around the world condemned the attack.
confer,v.,상의하다; (학위 등을) 수여하다,The board will confer with advisors before voting.
confession,n.,"자백, 고백",His public confession surprised everyone.
configuration,n.,"배치, 구성",Please check the server configuration before deployment.
confine,v.,"가두다, 제한하다",The fire was confined to the kitchen area.
confirmation,n.,"확인, 확증",We received email confirmation of your booking.
confront,v.,"직면하다, 맞서다",We must confront these issues directly.
confrontation,n.,"대립, 충돌",The meeting ended without confrontation.
congratulate,v.,축하하다,They congratulated her on the promotion.
congregation,n.,"신도, 집회",The congregation gathered for the morning service.
congressional,adj.,"의회의, 미 의회의",The bill faces strong congressional opposition.
conquer,v.,"정복하다, 이기다",They conquered the peak after a two-day climb.
conscience,n.,양심,Her conscience wouldn’t allow her to lie.
consciousness,n.,"의식, 자각",He lost consciousness after the fall.
consecutive,adj.,연속적인,The team won three consecutive matches.
consensus,n.,"합의, 여론",There was broad consensus on the plan.
consent,"n., v.",동의; 동의하다,You need parental consent to go on the trip.
conserve,v.,"보호하다, 보존하다",We should conserve water during the drought.
consistency,n.,"일관성, 농도",We improved model performance by enforcing consistency.
consolidate,v.,"통합하다, 강화하다",They aim to consolidate their market position.
constituency,n.,"유권자, 선거구",The policy was unpopular with the constituency.
constitute,v.,구성하다; ~로 간주하다,These actions constitute a breach of contract.
constitution,n.,헌법; 구성,Freedom of speech is protected by the constitution.
constitutional,adj.,"헌법의, 합헌의",The court ruled the law constitutional.
constraint,n.,"제약, 제한",Budget constraints forced us to delay the project.
consultation,n.,"상담, 협의","After consultation, we revised the schedule."
contemplate,v.,"숙고하다, 고려하다",She is contemplating a career change.
contempt,n.,"경멸, 모욕법정죄",He spoke with open contempt for corruption.
contend,v.,주장하다; 다투다,They contend that the data is flawed.
contender,n.,"경쟁자, 유력 후보",She is a serious contender for the title.
content (adj.),adj.,만족한,He seemed content with the final result.
contention,n.,"논쟁, 주장",Her main contention is that the fees are unfair.
continually,adv.,"지속적으로, 빈번히",The system continually monitors performance.
contractor,n.,"도급업자, 계약자",The contractor will start work next week.
contradiction,n.,"모순, 반박",There is a clear contradiction in his story.
