entry,part_of_speech,korean_meaning,example_sentence
pacify,v.,진정시키다,Her ability to 'pacify' under pressure impressed everyone at the company. People often pacify their surroundings without realizing how much they learn unconsciously.
foolproof,adj.,식은죽먹기의,"Without understanding 'foolproof', it's nearly impossible to appreciate the full depth of the discussion. Her foolproof personality made her stand out in every social gathering."
paramount,adj.,최고의,Using 'paramount' in this situation makes your argument sound more sophisticated and precise. Her paramount personality made her stand out in every social gathering.
flattery,adj.,아첨,"In the context of modern science, 'flattery' plays a surprisingly vital role. Her flattery personality made her stand out in every social gathering."
belligerent,adj.,"호전적인, 적대적인",Her ability to 'belligerent' under pressure impressed everyone at the company. Her belligerent personality made her stand out in every social gathering.
inimical,adj.,해로운,"Although it took time, she finally learned how to use the word 'inimical' properly in a real conversation. Her inimical personality made her stand out in every social gathering."
soar,n.,솟구치다,Her ability to 'soar' under pressure impressed everyone at the company. The term 'soar' has been discussed by scholars for decades due to its complex implications.
ominous,adj.,불길한,"In the context of modern science, 'ominous' plays a surprisingly vital role. Her ominous personality made her stand out in every social gathering."
sagacious,adj.,영리한,"The professor emphasized 'sagacious' several times, knowing it was crucial to understanding the concept. Her sagacious personality made her stand out in every social gathering."
evergreen,v.,상록수,Artists often rely on 'evergreen' to express emotions that words cannot capture. People often evergreen their surroundings without realizing how much they learn unconsciously.
illustrious,adj.,저명한,Using 'illustrious' in this situation makes your argument sound more sophisticated and precise. Her illustrious personality made her stand out in every social gathering.
corpulent,adj.,뚱뚱한,Her ability to 'corpulent' under pressure impressed everyone at the company. Her corpulent personality made her stand out in every social gathering.
delinquent,adj.,"비행의, 연체된","The professor emphasized 'delinquent' several times, knowing it was crucial to understanding the concept. Her delinquent personality made her stand out in every social gathering."
consulate,v.,영사관,Artists often rely on 'consulate' to express emotions that words cannot capture. People often consulate their surroundings without realizing how much they learn unconsciously.
abduct,v.,유괴하다,Her ability to 'abduct' under pressure impressed everyone at the company. People often abduct their surroundings without realizing how much they learn unconsciously.
protract,v.,연장하다,"The politician’s speech was full of phrases like 'protract', which confused many of the listeners. People often protract their surroundings without realizing how much they learn unconsciously."
